Organization Group,Department,Total Compensation
Community Health,Public Health,96190.19013988487
Culture & Recreation,Law Library,188424.36222222226
Culture & Recreation,Academy of Sciences,107319.72769230767
Culture & Recreation,Arts Commission,94339.59738764046
Culture & Recreation,War Memorial,76250.06802153435
Culture & Recreation,Asian Art Museum,71401.52006042302
General Administration & Finance,City Attorney,166082.67756061684
General Administration & Finance,Retirement System,117717.65858902574
General Administration & Finance,General Services Agency - Technology,110783.680158004
General Administration & Finance,Mayor,110765.3913327032
General Administration & Finance,Controller,104515.23494400665
General City Responsibilities,General Fund Unallocated,15824.151304347828
Human Welfare & Neighborhood Development,Rent Arbitration Board,102181.79394101881
Human Welfare & Neighborhood Development,Child Support Services,100044.07099747477
Human Welfare & Neighborhood Development,Children and Families Commission,96575.36619047615
Human Welfare & Neighborhood Development,Environment,75360.38745183885
Human Welfare & Neighborhood Development,"Children, Youth & Their Families",74304.9332835822
Public Protection,Fire Department,180788.0869790982
Public Protection,Public Defender,147552.18573936517
Public Protection,Police,141263.70172872025
Public Protection,District Attorney,141215.3785571144
Public Protection,Sheriff,140381.59054187225
"Public Works, Transportation & Commerce",Port,112139.68001718225
"Public Works, Transportation & Commerce",Department of Building Inspection,112051.6151824817
"Public Works, Transportation & Commerce",PUC Water Department,109806.58756692831
"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,108963.58978630723
"Public Works, Transportation & Commerce",Economic and Workforce Development,106112.40943204873
