IssuedYear,Accepted Loans,Avg Interest Charged,Avg Loan Amount,Most Likely Term,Most Likely Grade,Avg EMP Length
2007,603,11.825107794361536,8254.519071310116,36,C,3.109452736318408
2008,2393,12.061964061847071,8825.428332636857,36,B,4.326786460509821
2009,5281,12.437246733573069,9833.033516379473,36,B,4.238023101685287
2010,12537,11.985267607880846,10528.240408391162,36,B,4.884342346653905
2011,21721,12.223365406748053,12047.503567975691,36,B,5.209060356337186
2012,53367,13.637920437726223,13461.709014934322,36,B,5.6383532894860116
2013,134814,14.532011734694697,14707.41373299509,36,B,6.011334134437076
2014,235629,13.770047405045998,14870.15679309423,36,C,5.877994644122753
2015,421095,12.600242178161842,15240.28586186015,36,C,5.7666512307199085
2016,434407,13.043690410186532,14734.039046332126,36,B,5.739681911203088
